Raw ERP/Planning Export - intentionally messy,,,,,,,,
,,,,,,,,
Date,Dept,Account,Vendor / Customer,Amount EUR,Source,Owner,Status,Manual note
01-Jan-26,COGS,Materials,Walmart,"1,318",Check,M. Chen,late invoice,One-off item
01/3/26,R&D,Payroll - eng,Payroll,"8,369",ERP,,,
01/3/26,Marketing,Customer appr.,Amazon gift c.,520,manual Entry,M. Chen,,Check sign
2026-04-01,Sales,CRM / RevOps tools,Salesforce / Outreach,"3,920",manual Entry,Alex - FP&A,needs mapping,Timing issue
2026-03-28,Services,Prof services,Implementation clients,121,ERP,TBD,accrual,One-off item
01/2/26,Mktg,Paid media,Google / LinkedIn,"8,584",Pos,Alex - FP&A,posted,Timing issue
15 Apr-26,Sales,Sales commission,Payroll,"1,690",ERP,,,Check sign
01/1/26,Sales,Sales commission,Payroll,"8,388",Check,Andres,,Check sign
01/2/26,Sales,Sales commission,Payroll,"2,026",Pos,,late invoice,Ask owner
01/4/26,Marketing,Customer appr.,Soccer Ticket,"8,409",ERP,Andres,needs mapping,Map to GL 6100
15 Apr-26,Revenue,Subscr. revenue,Corp. clients,"2,659",manual Entry,M. Chen,manual adj,Timing issue
01/4/26,Marketing,Google Ads,Google / LinkedIn,"(6,182)",Pos,TBD,late invoice,Vendor invoice late
01/1/26,G&A,Legal fees,Europa Law firm,"6,166",Pos,M. Chen,manual adj,Ask owner
01/1/26,R&D,AI automation,n8n,"3,945",ERP,Alex - FP&A,needs mapping,
01/4/26,Revenue,Service,Retail Customer,"4,463",Pos,Andres,,Timing issue
2026-01-25,COGS,Payroll - eng,Payroll,"(5,382)",ERP,Erikfinance ops,posted,
2026-02-26,Sales,CRM / RevOps tools,Salesforce / Outreach,"4,477",ERP,TBD,Posted,
2026-01-25,Sales,CRM / RevOps tools,Salesforce / Outreach,"5,143",Pos,Andres,posted,
15 Apr-26,Sales,Payroll - sales,Payroll,"6,414",ERP,M. Chen,posted,Check sign
2026-01-25,Mktg,Customer appr.,Gift hamper,"(8,562)",manual Entry,TBD,late invoice,Timing issue
2026-01-25,Sales,Payroll - sales,Payroll,"9,652",Check,,manual adj,Timing issue
01-Jan-26,COGS,Payroll - eng,Payroll,"3,476",cash,,accrual,One-off item
2026-01-25,Revenue,Service,Corp. clients,430,ERP,M. Chen,posted,Vendor invoice late
2026-04-01,Services,Prof services,Implementation clients,"9,646",Pos,M. Chen,Posted,Check sign
01/2/26,Services,Support tools,Zendesk / Gainsight,"5,349",manual Entry,Alex - FP&A,posted,Timing issue
15 Apr-26,Services,Prof services,Implementation clients,343,Pos,Erikfinance ops,,Timing issue
15 Feb-26,Revenue,Service,Corp. clients,"(6,696)",Check,,,Timing issue
25 Mar-26,G&A,Accounting fees,Brandon,"7,662",ERP,Alex - FP&A,,Timing issue
2026-03-28,G&A,Office rent,Landlord,"2,093",ERP,M. Chen,Posted,Ask owner
2026-03-28,Marketing,Events & webinars,Various,"5,744",Check,TBD,posted,Vendor invoice late
01/2/26,Services,Support tools,Zendesk / Gainsight,"7,330",Pos,Andres,accrual,Check sign
01/3/26,R&D,AI automation,n8n,"9,799",Pos,TBD,manual adj,Map to GL 6100
2026-01-25,COGS,Payroll - eng,Payroll,"4,016",Pos,M. Chen,Posted,Ask owner
01-Jan-26,Services,Support tools,Zendesk / Gainsight,"9,702",ERP,M. Chen,Posted,Vendor invoice late
01/1/26,R&D,Cloud hosting,AWS / Datadog,"6,040",cash,Erikfinance ops,late invoice,Vendor invoice late
2026-01-25,G&A,Office rent,Landlord,"3,033",cash,M. Chen,needs mapping,One-off item
2026-04-01,Revenue,Product sales,Retail Customer,"(5,350)",cash,,Posted,Check sign
2026-04-01,G&A,Office rent,Landlord,"(8,778)",cash,Erikfinance ops,Posted,Timing issue
01-Jan-26,COGS,Cloud hosting,AWS / Datadog,650,ERP,,late invoice,Timing issue
01/3/26,Marketing,Customer appr.,Gift hamper,"6,195",Pos,Erikfinance ops,,Check sign
2026-01-25,COGS,Materials,Walmart,"9,637",manual Entry,M. Chen,late invoice,Vendor invoice late
2026-01-25,R&D,Payroll - eng,Payroll,400,Check,M. Chen,Posted,Ask owner
2026-03-28,Mktg,Events & webinars,Various,"9,597",manual Entry,Erikfinance ops,manual adj,One-off item
25 Mar-26,COGS,Payroll - eng,Payroll,"7,207",cash,M. Chen,Posted,Timing issue
01/1/26,Services,Support tools,Zendesk / Gainsight,"(6,344)",cash,Andres,,
2026-02-26,Mktg,Customer appr.,Soccer Ticket,"9,600",cash,M. Chen,accrual,One-off item
15 Apr-26,Services,Prof services,Implementation clients,"(1,383)",ERP,Andres,needs mapping,Vendor invoice late
2026-04-01,Marketing,Events & webinars,Various,"8,951",cash,Andres,needs mapping,Timing issue
01/4/26,COGS,Materials,Johnsons Supply,"1,457",manual Entry,Andres,manual adj,Ask owner
15 Apr-26,Revenue,Service,Retail Customer,"3,554",ERP,Erikfinance ops,,
01-Jan-26,G&A,Accounting fees,Brandon,500,Check,Erikfinance ops,late invoice,Vendor invoice late
01/2/26,G&A,Legal fees,Buchalter,"2,708",ERP,Erikfinance ops,Posted,
15 Feb-26,COGS,Payroll - eng,Payroll,"(7,050)",ERP,M. Chen,accrual,Check sign
2026-02-26,R&D,Payroll - eng,Payroll,"1,254",ERP,Erikfinance ops,manual adj,Vendor invoice late
2026-01-25,Sales,Sales commission,Payroll,"7,138",manual Entry,M. Chen,needs mapping,One-off item
2026-03-28,Mktg,Events & webinars,Various,"9,221",manual Entry,Andres,manual adj,Timing issue
01/4/26,Mktg,Events & webinars,Various,"(9,150)",Pos,TBD,manual adj,Map to GL 6100
01/4/26,Marketing,Events & webinars,Various,"5,450",manual Entry,Erikfinance ops,accrual,Vendor invoice late
2026-03-28,Mktg,Events & webinars,Various,"6,021",manual Entry,Alex - FP&A,,Map to GL 6100
2026-01-25,COGS,Materials,Electric house,"9,614",Pos,Erikfinance ops,late invoice,One-off item
01/3/26,Mktg,Customer appr.,Amazon gift c.,"9,552",cash,TBD,,Map to GL 6100
01/1/26,G&A,Office rent,Landlord,"6,611",manual Entry,Andres,posted,Ask owner
01-Jan-26,G&A,Legal fees,Buchalter,"(6,917)",ERP,Andres,Posted,Check sign
25 Mar-26,Marketing,Customer appr.,Gift hamper,"(6,476)",Pos,,accrual,Check sign
2026-04-01,Services,Prof services,Implementation clients,"(5,248)",ERP,TBD,accrual,One-off item
01-Jan-26,Revenue,Subscr. revenue,Retail Customer,"6,695",ERP,Andres,accrual,Vendor invoice late
01/4/26,Services,Prof services,Implementation clients,"8,026",cash,Andres,late invoice,Timing issue
2026-03-28,G&A,Office rent,Landlord,"4,075",Pos,M. Chen,manual adj,Map to GL 6100
01/4/26,R&D,Payroll - eng,Payroll,"(4,552)",Check,M. Chen,accrual,Vendor invoice late
01/4/26,Revenue,Revenue,Retail Customer,"3,567",Check,TBD,late invoice,Timing issue
25 Mar-26,Mktg,Events & webinars,Various,"(1,181)",cash,Andres,manual adj,Vendor invoice late
2026-01-25,Sales,Sales commission,Payroll,"4,638",manual Entry,Andres,needs mapping,
2026-04-01,Sales,CRM / RevOps tools,Salesforce / Outreach,"2,572",manual Entry,M. Chen,manual adj,
01/4/26,Mktg,Customer appr.,Soccer Ticket,"3,405",ERP,Andres,accrual,Vendor invoice late
01/3/26,Marketing,Customer appr.,Gift hamper,"(2,571)",Check,TBD,needs mapping,Ask owner
01-Jan-26,Revenue,Service,Retail Customer,"6,512",manual Entry,Erikfinance ops,,Ask owner
2026-03-28,Marketing,Customer appr.,Amazon gift c.,"1,870",cash,Erikfinance ops,,Vendor invoice late
01/4/26,Mktg,Events & webinars,Various,"6,918",manual Entry,Andres,,Map to GL 6100
2026-04-01,Marketing,Google Ads,Google / LinkedIn,"9,799",cash,Andres,needs mapping,One-off item
01/1/26,Marketing,Events & webinars,Various,"(7,400)",Pos,M. Chen,late invoice,
01/4/26,Marketing,Customer appr.,Gift hamper,"1,855",Pos,,posted,Ask owner
01/3/26,Revenue,Subscr. revenue,Corp. clients,"9,804",manual Entry,,manual adj,
01-Jan-26,Revenue,Revenue,Retail Customer,"3,710",manual Entry,M. Chen,needs mapping,One-off item
15 Apr-26,Marketing,Google Ads,Google / LinkedIn,"7,449",Pos,Erikfinance ops,Posted,
2026-02-26,COGS,Cloud hosting,AWS / Datadog,"5,720",ERP,TBD,manual adj,Ask owner
15 Apr-26,Mktg,Customer appr.,Amazon gift c.,"1,634",ERP,M. Chen,Posted,Vendor invoice late
2026-01-25,R&D,Cloud hosting,AWS / Datadog,190,cash,Erikfinance ops,posted,Vendor invoice late
01/3/26,Mktg,Customer appr.,Soccer Ticket,"8,578",manual Entry,,accrual,
01/2/26,Revenue,Product sales,Retail Customer,"9,531",Check,Alex - FP&A,,Timing issue
01/4/26,Revenue,Service,Corp. clients,"1,079",Check,Erikfinance ops,needs mapping,Timing issue
2026-04-01,Marketing,Customer appr.,Soccer Ticket,"2,199",Check,M. Chen,posted,Timing issue
2026-01-25,Mktg,Customer appr.,Gift hamper,"9,225",manual Entry,,,Check sign
01-Jan-26,Revenue,Subscr. revenue,Corp. clients,"2,863",Check,M. Chen,late invoice,One-off item
2026-01-25,G&A,Legal fees,Buchalter,754,Pos,TBD,accrual,Timing issue
01/1/26,R&D,Cloud hosting,AWS / Datadog,"(8,449)",Check,Erikfinance ops,,One-off item
01/1/26,R&D,AI automation,n8n,"3,003",cash,,,Check sign
01/4/26,Services,Support tools,Zendesk / Gainsight,"2,496",Pos,Erikfinance ops,,Vendor invoice late
2026-04-01,Services,Support tools,Zendesk / Gainsight,"5,836",cash,TBD,manual adj,Vendor invoice late
15 Feb-26,R&D,Cloud hosting,AWS / Datadog,"6,325",manual Entry,TBD,late invoice,Timing issue
25 Mar-26,G&A,Office rent,Landlord,"3,645",Check,Andres,needs mapping,
15 Feb-26,Mktg,Paid media,Google / LinkedIn,99,Check,M. Chen,manual adj,Map to GL 6100
15 Feb-26,R&D,Payroll - eng,Payroll,"(3,875)",Check,Alex - FP&A,needs mapping,Timing issue
01/1/26,Sales,Payroll - sales,Payroll,"2,333",ERP,Erikfinance ops,Posted,Map to GL 6100
01-Jan-26,Sales,Payroll - sales,Payroll,"9,763",cash,Erikfinance ops,Posted,Vendor invoice late
2026-04-01,COGS,Materials,Home Depot,"5,202",ERP,Andres,,
15 Feb-26,Marketing,Events & webinars,Various,"1,262",manual Entry,Alex - FP&A,,One-off item
01/3/26,Revenue,Product sales,Corp. clients,"3,502",Pos,TBD,accrual,Check sign
15 Apr-26,R&D,Cloud hosting,AWS / Datadog,629,Check,Alex - FP&A,posted,Timing issue
2026-01-25,Services,Support tools,Zendesk / Gainsight,"9,839",Check,Alex - FP&A,Posted,Check sign
25 Mar-26,COGS,Payroll - eng,Payroll,"7,269",cash,Andres,posted,One-off item
2026-03-28,Services,Prof services,Implementation clients,(409),manual Entry,M. Chen,posted,Check sign
15 Feb-26,COGS,Cloud hosting,AWS / Datadog,"1,530",manual Entry,Erikfinance ops,posted,Ask owner
2026-01-25,Mktg,Events & webinars,Various,"8,204",Check,TBD,late invoice,Map to GL 6100
2026-01-25,R&D,AI automation,n8n,231,Pos,,accrual,Timing issue
01/2/26,Marketing,Customer appr.,Soccer Ticket,"6,171",Check,M. Chen,Posted,
15 Apr-26,Services,Support tools,Zendesk / Gainsight,920,manual Entry,TBD,posted,Ask owner
2026-01-25,G&A,Legal fees,Buchalter,"8,170",Check,Alex - FP&A,late invoice,
01/3/26,G&A,Office rent,Landlord,"4,244",manual Entry,TBD,needs mapping,Timing issue
01/2/26,Revenue,Product sales,Retail Customer,"(2,977)",manual Entry,M. Chen,posted,Check sign
2026-02-26,Marketing,Customer appr.,Amazon gift c.,744,manual Entry,,late invoice,Ask owner
2026-03-28,Revenue,Subscr. revenue,Corp. clients,"3,048",ERP,Erikfinance ops,accrual,Map to GL 6100
2026-03-28,Mktg,Events & webinars,Various,"9,094",Pos,Erikfinance ops,late invoice,One-off item
01/1/26,COGS,Materials,Home Depot,"3,049",cash,M. Chen,manual adj,Check sign
15 Feb-26,Mktg,Paid media,Google / LinkedIn,"6,056",manual Entry,TBD,,Check sign
01-Jan-26,Revenue,Revenue,Retail Customer,"6,626",manual Entry,M. Chen,needs mapping,Map to GL 6100
01/4/26,Sales,Sales commission,Payroll,"5,067",Check,M. Chen,manual adj,One-off item
15 Feb-26,Sales,CRM / RevOps tools,Salesforce / Outreach,"(2,747)",manual Entry,TBD,Posted,Ask owner
01/2/26,COGS,Cloud hosting,AWS / Datadog,"3,582",Pos,Erikfinance ops,manual adj,Timing issue
2026-03-28,G&A,Office rent,Landlord,"3,478",ERP,M. Chen,,Ask owner
15 Apr-26,Revenue,Revenue,Retail Customer,"(3,781)",cash,TBD,accrual,Vendor invoice late
01/4/26,Mktg,Events & webinars,Various,"5,348",Check,TBD,manual adj,Timing issue
2026-02-26,Marketing,Events & webinars,Various,"6,337",ERP,M. Chen,manual adj,One-off item
01/4/26,G&A,Office rent,Landlord,"7,148",manual Entry,Erikfinance ops,late invoice,Map to GL 6100
15 Apr-26,COGS,Cloud hosting,AWS / Datadog,"(6,342)",cash,Andres,accrual,
2026-04-01,COGS,Cloud hosting,AWS / Datadog,"7,107",Pos,,accrual,
01-Jan-26,Sales,CRM / RevOps tools,Salesforce / Outreach,"1,820",Check,M. Chen,posted,Timing issue
2026-01-25,Services,Prof services,Implementation clients,"5,749",Pos,M. Chen,needs mapping,Map to GL 6100
2026-03-28,Sales,CRM / RevOps tools,Salesforce / Outreach,"8,915",ERP,M. Chen,late invoice,One-off item
01/1/26,Services,Support tools,Zendesk / Gainsight,"5,112",manual Entry,TBD,Posted,Map to GL 6100
2026-01-25,Mktg,Events & webinars,Various,"(2,443)",ERP,Erikfinance ops,manual adj,Timing issue
2026-04-01,Revenue,Product sales,Corp. clients,"3,358",manual Entry,Erikfinance ops,accrual,
01/3/26,Mktg,Events & webinars,Various,"(6,411)",cash,Andres,manual adj,Map to GL 6100
01/4/26,Services,Support tools,Zendesk / Gainsight,"9,102",cash,Alex - FP&A,,Timing issue
15 Apr-26,COGS,Materials,Home Depot,"(6,426)",ERP,,,Check sign
2026-02-26,Revenue,Subscr. revenue,Corp. clients,"1,682",Check,Erikfinance ops,late invoice,Map to GL 6100
2026-02-26,Services,Prof services,Implementation clients,"8,072",ERP,TBD,late invoice,Vendor invoice late
2026-04-01,COGS,Payroll - eng,Payroll,"3,563",Check,Erikfinance ops,manual adj,Map to GL 6100
01-Jan-26,Mktg,Paid media,Google / LinkedIn,"1,342",manual Entry,TBD,accrual,One-off item
01/4/26,Sales,CRM / RevOps tools,Salesforce / Outreach,945,manual Entry,M. Chen,,Vendor invoice late
01/3/26,R&D,Payroll - eng,Payroll,754,Check,TBD,needs mapping,One-off item
01/4/26,Mktg,Paid media,Google / LinkedIn,"2,119",ERP,M. Chen,posted,Timing issue
01/4/26,Revenue,Revenue,Retail Customer,"9,023",Pos,Erikfinance ops,needs mapping,Map to GL 6100
