Raw ERP/Planning Export - intentionally messy,,,,,,,,
,,,,,,,,
Date,Dept,Account,Vendor / Customer,Amount EUR,Source,Owner,Status,Manual note
02 Apr-26,Mktg,Events & webinars,Various,"9,232",ERP,Andres,,Vendor invoice late
04/25/26,Sales,Payroll - sales,Payroll,"6,843",cash,Erik,Posted,Map to GL 6100
18 Oct-25,COGS,Cloud hosting,AWS / Datadog,"9,447",Check,finance ops,late invoice,Vendor invoice late
2025-05-16,R&D,AI automation,n8n,"(9,905)",manual Entry,Alex - FP&A,posted,One-off item
23-Mar-25,R&D,Cloud hosting,AWS / Datadog,"9,253",Pos,finance ops,accrual,Timing issue
25-Dec-25,Revenue,Subscr. revenue,Corp. clients,"2,747",ERP,finance ops,accrual,One-off item
17 Sep-25,Revenue,Revenue,Retail Customer,"5,009",ERP,,Posted,
2025-03-19,Marketing,Google Ads,Google / LinkedIn,"(5,698)",manual Entry,M. Chen,Posted,Timing issue
23 Jun-26,Revenue,Service,Corp. clients,"5,201",Check,M. Chen,posted,Vendor invoice late
27 May-25,R&D,AI automation,n8n,"4,794",ERP,Andres,late invoice,Map to GL 6100
2025-11-27,COGS,Cloud hosting,AWS / Datadog,"5,414",Check,Andres,late invoice,
28 Jun-26,COGS,Cloud hosting,AWS / Datadog,"8,061",manual Entry,TBD,Posted,Timing issue
01/31/25,Sales,Sales commission,Payroll,"1,075",manual Entry,finance ops,accrual,One-off item
04/25/26,Mktg,Customer appr.,Soccer Ticket,"(1,185)",manual Entry,Erik,late invoice,Ask owner
10/31/25,Mktg,Customer appr.,Soccer Ticket,"3,219",Pos,finance ops,accrual,Map to GL 6100
05/03/26,Sales,Sales commission,Payroll,"(9,252)",manual Entry,,needs mapping,Vendor invoice late
2025-12-30,Marketing,Customer appr.,Soccer Ticket,"2,854",ERP,,posted,Map to GL 6100
03/25/25,Sales,CRM / RevOps tools,Salesforce / Outreach,"5,608",Check,Erik,accrual,Map to GL 6100
2025-05-20,Revenue,Service,Corp. clients,"(8,093)",cash,Andres,accrual,One-off item
22-Apr-26,R&D,AI automation,n8n,"1,995",ERP,finance ops,accrual,Check sign
07/05/26,Marketing,Google Ads,Google / LinkedIn,"(1,091)",ERP,Erik,manual adj,Check sign
2025-06-14,Marketing,Paid media,Google / LinkedIn,"(9,456)",cash,TBD,late invoice,Ask owner
11-Feb-25,Marketing,Google Ads,Google / LinkedIn,"1,192",cash,,posted,Timing issue
2025-04-21,Revenue,Service,Corp. clients,"1,509",cash,finance ops,,Map to GL 6100
05/29/26,G&A,Office rent,Landlord,"(8,916)",ERP,,manual adj,Timing issue
07/15/25,Marketing,Events & webinars,Various,"9,609",Pos,Erik,needs mapping,Ask owner
2025-04-02,Revenue,Product sales,Corp. clients,"3,982",ERP,,Posted,Ask owner
27 Mar-25,R&D,Cloud hosting,AWS / Datadog,"2,941",ERP,Alex - FP&A,posted,Vendor invoice late
2026-05-28,Mktg,Paid media,Google / LinkedIn,"1,206",manual Entry,Andres,Posted,Timing issue
30-Jul-25,Marketing,Customer appr.,Gift hamper,"1,300",Pos,TBD,Posted,Vendor invoice late
06 Jan-26,Revenue,Revenue,Corp. clients,"5,698",cash,finance ops,late invoice,Map to GL 6100
01/31/25,Services,Support tools,Zendesk / Gainsight,"8,074",ERP,Alex - FP&A,accrual,Check sign
10/31/25,Revenue,Subscr. revenue,Retail Customer,"4,820",Check,Alex - FP&A,,Timing issue
2025-09-16,Sales,Payroll - sales,Payroll,"4,366",cash,finance ops,Posted,One-off item
09 Jun-26,R&D,Payroll - eng,Payroll,"9,425",Check,Erik,needs mapping,Vendor invoice late
09/19/25,Sales,Payroll - sales,Payroll,"(4,720)",ERP,M. Chen,,Ask owner
2025-06-13,Revenue,Service,Corp. clients,"9,083",Pos,Alex - FP&A,accrual,Map to GL 6100
09/30/25,Mktg,Paid media,Google / LinkedIn,"4,616",Check,,accrual,Vendor invoice late
07-Aug-25,R&D,Cloud hosting,AWS / Datadog,"4,764",ERP,TBD,accrual,One-off item
03 Sep-25,G&A,Office rent,Landlord,"5,855",Check,TBD,late invoice,Vendor invoice late
